GroupCode,StartStage,MigID,StartTofY,EndTofY,Leave_Period,Return_Period,IsAnnualMigration,MinTimeAway,MaxTimeAway,MigrateStockReturn,MigPropSizeInc,MigPropSurvive
WHT,0,0,300,120,30,30,1,0,0,0,0.157,1
WHT,1,0,300,120,30,30,1,0,0,0,0.028,1
WHG,0,0,334,32,15,15,1,0,0,0,0.055,1
WHG,0,1,151,288,15,15,1,0,0,0,0.025,1
WHG,1,0,334,32,15,15,1,0,0,0,0.004,1
WHG,1,1,151,288,15,15,1,0,0,0,0.002,1
WHH,0,0,305,121,15,15,1,0,0,0,0.153,1
WHH,1,0,305,121,15,15,1,0,0,0,0.036,1
PIN,0,0,135,319,15,15,1,0,0,0,0.354,1
PIN,0,1,335,74,15,15,1,0,0,0,0.2,1
PIN,1,0,135,319,15,15,1,0,0,0,0.035,1
PIN,1,1,335,74,15,15,1,0,0,0,0.02,1
BDF,0,0,280,135,42,42,1,0,0,0,0,1
BDF,1,0,280,135,42,42,1,0,0,0,0,1
BDI,0,0,308,65,15,15,1,0,0,0,0,1
BDI,1,0,308,65,15,15,1,0,0,0,0,1
BSF,0,0,300,180,23,23,1,0,0,0,0,1
BSF,1,0,300,180,23,23,1,0,0,0,0,1
SHP,0,0,8,124,5,5,1,0,0,0,0.29,1
SHP,1,0,8,124,5,5,1,0,0,0,0.034,1
SCH,0,0,210,90,5,5,1,0,0,0,0.484333333,1
SCH,1,0,210,90,5,5,1,0,0,0,0.039666667,1
SCM,0,0,195,120,5,5,1,0,0,0,0.875333333,1
SCM,1,0,195,120,5,5,1,0,0,0,0.133,1
SCO,0,0,335,150,5,5,1,0,0,0,0.222333333,1
SCO,1,0,335,150,5,5,1,0,0,0,0,1
SPI,0,0,188,122,5,5,1,0,0,0,0.130666667,1
SPI,1,0,188,122,5,5,1,0,0,0,0,1
SSO,0,0,210,121,5,5,1,0,0,0,0.444333333,1
SSO,1,0,210,121,5,5,1,0,0,0,0.028,1
HAK,0,0,273,182,15,15,1,0,0,0,0.719,0.75
HAK,1,0,273,182,15,15,1,0,0,0,0.126,0.75
