Code,Index,IsTurnedOn,Name,LongName,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,NumMigrations,MultiYrMigrations,ExternalReproduction,RecruitType,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries,isBioEroder,isSupplemented
KWT,0,1,Killer_transient,Transient killer whales,10,1,2,1,5,1,1,1,0,0,0,0,1,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0
WHT,1,1,Whale_tooth,Toothed whales,10,1,2,1,5,1,1,1,1,0,1,0,1,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0
KWR,2,1,Killer_resident,Resident killer whales,10,1,2,1,5,1,1,1,0,0,0,0,1,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0
DOL,3,1,Dolphins,Dolphins,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0
WHG,4,1,Whale_grey,Gray whales,10,1,2,1,6,1,1,1,2,0,1,0,1,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0
WHH,5,1,Whale_humpback,Humpback whales,10,1,2,1,5,1,1,1,1,0,1,0,1,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0
WHB,6,1,Whale_baleen,Other baleen whales,10,1,2,1,5,1,1,1,0,0,0,0,1,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0
SSL,7,1,Steller_sea_lion,Steller sea lion,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0
PIN,8,1,Pinnipeds,Other pinnipeds,10,1,2,1,2,1,1,1,2,0,0,0,1,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0
BDF,9,1,Seabird_dive_fish,Seabirds diving fish,10,1,2,1,2,1,1,1,1,0,0,0,1,1,0,BIRD,1,0,0,0,0,0,0,0,4,0,0
BDI,10,1,Seabird_dive_invert,Seabirds diving plankton,8,1,2,1,1,1,1,1,1,0,0,0,1,1,0,BIRD,1,0,0,0,0,0,0,0,4,0,0
BSF,11,1,Seabird_surface_fish,Seabirds surface fish,10,1,2,1,2,1,1,1,1,0,0,0,1,1,0,BIRD,1,0,0,0,0,0,0,0,4,0,0
BSI,12,1,Seabird_surface_inverts,Seabirds surface plankton,10,1,2,1,3,1,1,1,0,0,0,0,1,1,0,BIRD,1,0,0,0,0,0,0,0,4,0,0
SHD,13,1,Shark_demersal,Sleeper shark,10,1,2,1,30,1,1,1,0,0,0,0,1,1,0,SHARK,1,0,0,0,0,0,0,0,4,0,0
SHP,14,1,Shark_pelagic,Salmon shark,10,1,2,1,2,1,1,1,1,0,1,0,1,1,0,SHARK,1,0,0,0,0,0,0,0,4,0,0
DOG,15,1,Dogfish,Dogfish,10,1,2,1,11,1,1,1,0,0,0,0,1,1,0,SHARK,1,0,0,0,0,0,0,0,4,0,0
POL,16,1,Pollock,Walleye pollock,10,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,4,0,0
COD,17,1,Cod,Pacific cod,10,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,4,0,0
HER,18,1,Herring,Pacific herring,8,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,4,0,0
ATF,19,1,Arrowtooth_flounder,Arrowtooth flounder,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0
HAL,20,1,Halibut,Pacific halibut,10,1,2,1,3,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0
FHS,21,1,Flathead_sole,Flathead sole,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0
REX,22,1,Rex_sole,Rex sole,10,1,2,1,3,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0
FFS,23,1,Flatfish_shallow,Shallow-water flatfish,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0
FFD,24,1,Flatfish_deep,Deep-water flatfish,10,1,2,1,5,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0
SKL,25,1,Skate_longnose,Longnose skate,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0
SKB,26,1,Skate_big,Big skate,10,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0
SKO,27,1,Skate_other,Other skate,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0
SBF,28,1,Sablefish,Sablefish,10,1,2,1,3,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,4,0,0
